source_mat_id,sea_surf_temp,sea_surf_temp_method,ph,ph_method,sediment_temp,sediment_temp_method,redox_potential,redox_potential_method,alkalinity,alkalinity_method,ammonium,ammonium_method,atmospheric_data,bacteria_carb_prod,bacteria_carb_prod_method,biomass,biomass_method,chem_administration,chlorophyll,chlorophyll_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_hydrogen,diss_hydrogen_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,magnesium,magnesium_method,methane,methane_method,misc_param,misc_param_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,org_carb,org_carb_method,org_matter,org_matter_method,org_nitro,org_nitro_method,organism_count,organism_count_method,oxy_stat_samp,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,particle_class,perturbation,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,porosity,pressure,pressure_method,sea_surf_salinity,sea_surf_salinity_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,tot_carb,tot_carb_method,tot_diss_nitro,tot_inorg_nitro,tot_nitro,tot_nitro_method,tot_part_carb,tot_part_carb_method,tot_phosp,tot_phosp_method,water_content,water_current,water_current_method
EMO BON OOB So 210608 micro (1),18.75,Seabird SBE 911plus CTD,7.962,Consort multimeter C3016,18.66,Consort temperature compensator (ST10) PT1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,Seabird SBE 911plus CTD,,,,,,,,,,,,,,,,,,,
EMO BON OOB So 210608 micro (2),18.75,Seabird SBE 911plus CTD,7.962,Consort multimeter C3017,18.66,Consort temperature compensator (ST10) PT1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,Seabird SBE 911plus CTD,,,,,,,,,,,,,,,,,,,
EMO BON OOB So 210608 micro (3),18.75,Seabird SBE 911plus CTD,7.962,Consort multimeter C3018,18.66,Consort temperature compensator (ST10) PT1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,Seabird SBE 911plus CTD,,,,,,,,,,,,,,,,,,,
EMO BON OOB So 210608 micro (4),18.75,Seabird SBE 911plus CTD,7.962,Consort multimeter C3019,18.66,Consort temperature compensator (ST10) PT1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,Seabird SBE 911plus CTD,,,,,,,,,,,,,,,,,,,
EMO BON OOB So 210608 meio (1),18.75,Seabird SBE 911plus CTD,7.962,Consort multimeter C3020,18.66,Consort temperature compensator (ST10) PT1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,Seabird SBE 911plus CTD,,,,,,,,,,,,,,,,,,,
EMO BON OOB So 210608 meio (2),18.75,Seabird SBE 911plus CTD,7.962,Consort multimeter C3021,18.66,Consort temperature compensator (ST10) PT1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,Seabird SBE 911plus CTD,,,,,,,,,,,,,,,,,,,
EMO BON OOB So 210608 meio (3),18.75,Seabird SBE 911plus CTD,7.962,Consort multimeter C3022,18.66,Consort temperature compensator (ST10) PT1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,Seabird SBE 911plus CTD,,,,,,,,,,,,,,,,,,,
EMO BON OOB So 210608 meio (4),18.75,Seabird SBE 911plus CTD,7.962,Consort multimeter C3023,18.66,Consort temperature compensator (ST10) PT1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,Seabird SBE 911plus CTD,,,,,,,,,,,,,,,,,,,
EMO BON OOB So 210818 micro (1),21.81,Seabird SBE 911plus CTD,8.0,Consort multimeter C3024,21.68,Consort temperature compensator (ST10) PT1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69,Seabird SBE 911plus CTD,,,,,,,,,,,,,,,,,,,
EMO BON OOB So 210818 micro (2),21.81,Seabird SBE 911plus CTD,8.0,Consort multimeter C3025,21.68,Consort temperature compensator (ST10) PT1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69,Seabird SBE 911plus CTD,,,,,,,,,,,,,,,,,,,
EMO BON OOB So 210818 micro (3),21.81,Seabird SBE 911plus CTD,8.0,Consort multimeter C3026,21.68,Consort temperature compensator (ST10) PT1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69,Seabird SBE 911plus CTD,,,,,,,,,,,,,,,,,,,
EMO BON OOB So 210818 micro (4),21.81,Seabird SBE 911plus CTD,8.0,Consort multimeter C3027,21.68,Consort temperature compensator (ST10) PT1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69,Seabird SBE 911plus CTD,,,,,,,,,,,,,,,,,,,
EMO BON OOB So 211012 micro (1),19.39,Seabird SBE 911plus CTD,7.988,Consort multimeter C3028,19.4,Consort temperature compensator (ST10) PT1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,Seabird SBE 911plus CTD,,,,,,,,,,,,,,,,,,,
