source_mat_id,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,size_frac_low,size_frac_up,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_dur,samp_deposit_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,samp_size,ship_date
EMO BON OOB So 210608 micro (1),bacteria_archaea,sediment [ENVO:00002007],2021-06-08T09:00+01:00,OOB So 210608,Bruno Hesse,,,27,,,PVC sediment corer,SoSOP 2,PVC cores of 7.5 cm in diameter,38.0,,"room 213, freezer LECOB",-80.0,Pierre Galand,0000-0002-2238-3247,Lyvia Lescure,,10.0,2021-07-29
EMO BON OOB So 210608 micro (2),bacteria_archaea,sediment [ENVO:00002007],2021-06-08T09:00+01:00,OOB So 210608,Bruno Hesse,,,27,,,PVC sediment corer,SoSOP 2,PVC cores of 7.5 cm in diameter,38.0,,"room 213, freezer LECOB",-80.0,Pierre Galand,0000-0002-2238-3247,Lyvia Lescure,,10.0,2021-07-29
EMO BON OOB So 210608 micro (3),bacteria_archaea,sediment [ENVO:00002007],2021-06-08T09:00+01:00,OOB So 210608,Bruno Hesse,,,27,,,PVC sediment corer,SoSOP 2,PVC cores of 7.5 cm in diameter,,2021-06-08,"room 213, freezer LECOB",-80.0,Pierre Galand,0000-0002-2238-3247,Lyvia Lescure,,10.0,
EMO BON OOB So 210608 micro (4),bacteria_archaea,sediment [ENVO:00002007],2021-06-08T09:00+01:00,OOB So 210608,Bruno Hesse,,,27,,,PVC sediment corer,SoSOP 2,PVC cores of 7.5 cm in diameter,,2021-06-08,"room 213, freezer LECOB",-80.0,Pierre Galand,0000-0002-2238-3247,Lyvia Lescure,,10.0,
EMO BON OOB So 210608 meio (1),eukaryote,sediment [ENVO:00002007],2021-06-08T09:00+01:00,OOB So 210608,Bruno Hesse,,,27,,,PVC sediment corer,SoSOP 2,PVC cores of 7.5 cm in diameter,230.0,,"room 301, freezer LECOB",-20.0,Jadwiga Orignac,0000-0003-2304-2951,Lyvia Lescure,,,2022-01-24
EMO BON OOB So 210608 meio (2),eukaryote,sediment [ENVO:00002007],2021-06-08T09:00+01:00,OOB So 210608,Bruno Hesse,,,27,,,PVC sediment corer,SoSOP 2,PVC cores of 7.5 cm in diameter,230.0,,"room 301, freezer LECOB",-20.0,Jadwiga Orignac,0000-0003-2304-2951,Lyvia Lescure,,,
EMO BON OOB So 210608 meio (3),eukaryote,sediment [ENVO:00002007],2021-06-08T09:00+01:00,OOB So 210608,Bruno Hesse,,,27,,,PVC sediment corer,SoSOP 2,PVC cores of 7.5 cm in diameter,,2021-06-08,"room 301, freezer LECOB",-20.0,Jadwiga Orignac,0000-0003-2304-2951,Lyvia Lescure,,,
EMO BON OOB So 210608 meio (4),eukaryote,sediment [ENVO:00002007],2021-06-08T09:00+01:00,OOB So 210608,Bruno Hesse,,,27,,,PVC sediment corer,SoSOP 2,PVC cores of 7.5 cm in diameter,,2021-06-08,"room 301, freezer LECOB",-20.0,Jadwiga Orignac,0000-0003-2304-2951,Lyvia Lescure,,,
EMO BON OOB So 210818 micro (1),bacteria_archaea,sediment [ENVO:00002007],2021-08-18T09:00+01:00,OOB So 210818,Bruno Hesse,,,27,,,PVC sediment corer,SoSOP 2,PVC cores of 7.5 cm in diameter,159.0,,"room 213, freezer LECOB",-80.0,Pierre Galand,0000-0002-2238-3247,Lyvia Lescure,,10.0,2021-10-21
EMO BON OOB So 210818 micro (2),bacteria_archaea,sediment [ENVO:00002007],2021-08-18T09:00+01:00,OOB So 210818,Bruno Hesse,,,27,,,PVC sediment corer,SoSOP 2,PVC cores of 7.5 cm in diameter,159.0,,"room 213, freezer LECOB",-80.0,Pierre Galand,0000-0002-2238-3247,Lyvia Lescure,,10.0,2021-10-21
